fecha,ticker,r,T,spot,F_mercado,F_teorico,basis,señal
2026-06-05,ES=F,0.03625,0.03836,7416.37,7432.5,7422.99,9.51,SIN SEÑAL
2026-06-05,GC=F,0.03625,0.03836,4316.96,4347.7,4323.63,24.07,VENDE FUTURO
2026-06-05,SI=F,0.03625,0.03836,68.35,68.26,68.46,-0.2,SIN SEÑAL
2026-05-08,ES=F,0.03595,0.11507,7398.93,7419.0,7418.5,0.5,SIN SEÑAL
2026-05-11,ES=F,0.036,0.10685,7412.84,7436.75,7431.08,5.67,SIN SEÑAL
2026-05-12,ES=F,0.03603,0.10411,7400.96,7426.5,7418.73,7.77,SIN SEÑAL
2026-05-13,ES=F,0.036,0.10137,7444.25,7469.5,7461.63,7.87,SIN SEÑAL
2026-05-14,ES=F,0.03588,0.09863,7501.24,7525.5,7518.19,7.31,SIN SEÑAL
2026-05-15,ES=F,0.03588,0.09589,7408.5,7432.25,7424.77,7.48,SIN SEÑAL
2026-05-18,ES=F,0.03568,0.08767,7403.05,7425.75,7417.78,7.97,SIN SEÑAL
2026-05-19,ES=F,0.03575,0.08493,7353.61,7378.0,7367.83,10.17,SIN SEÑAL
2026-05-20,ES=F,0.03557,0.08219,7432.97,7451.75,7446.77,4.98,SIN SEÑAL
2026-05-21,ES=F,0.03582,0.07945,7445.72,7466.0,7459.23,6.77,SIN SEÑAL
2026-05-22,ES=F,0.03585,0.07671,7473.47,7491.0,7486.58,4.42,SIN SEÑAL
2026-05-26,ES=F,0.03582,0.06575,7519.12,7537.0,7530.41,6.59,SIN SEÑAL
2026-05-27,ES=F,0.03585,0.06301,7520.36,7540.0,7531.2,8.8,SIN SEÑAL
2026-05-28,ES=F,0.0359,0.06027,7563.63,7581.75,7574.08,7.67,SIN SEÑAL
2026-05-29,ES=F,0.03588,0.05753,7580.06,7595.75,7590.04,5.71,SIN SEÑAL
2026-06-01,ES=F,0.0362,0.04932,7599.96,7613.25,7608.66,4.59,SIN SEÑAL
2026-06-02,ES=F,0.03618,0.04658,7609.78,7623.75,7618.0,5.75,SIN SEÑAL
2026-06-03,ES=F,0.03623,0.04384,7553.68,7571.75,7561.38,10.37,SIN SEÑAL
2026-06-04,ES=F,0.0362,0.0411,7584.31,7601.0,7591.54,9.46,SIN SEÑAL
2026-05-08,GC=F,0.03595,0.11507,4723.76,4720.4,4745.52,-25.12,COMPRA FUTURO
2026-05-11,GC=F,0.036,0.10685,4733.33,4718.7,4753.61,-34.91,COMPRA FUTURO
2026-05-12,GC=F,0.03603,0.10411,4714.6,4677.6,4734.3,-56.7,COMPRA FUTURO
2026-05-13,GC=F,0.036,0.10137,4688.14,4697.7,4707.19,-9.49,SIN SEÑAL
2026-05-14,GC=F,0.03588,0.09863,4652.32,4678.1,4670.65,7.45,SIN SEÑAL
2026-05-15,GC=F,0.03588,0.09589,4544.29,4555.8,4561.7,-5.9,SIN SEÑAL
2026-05-18,GC=F,0.03568,0.08767,4556.7,4552.5,4572.58,-20.08,SIN SEÑAL
2026-05-19,GC=F,0.03575,0.08493,4481.23,4506.3,4496.39,9.91,SIN SEÑAL
2026-05-20,GC=F,0.03557,0.08219,4545.48,4531.3,4560.3,-29.0,COMPRA FUTURO
2026-05-21,GC=F,0.03582,0.07945,4541.02,4539.8,4555.41,-15.61,SIN SEÑAL
2026-05-22,GC=F,0.03585,0.07671,4506.5,4521.0,4520.29,0.71,SIN SEÑAL
2026-05-26,GC=F,0.03582,0.06575,4508.46,4500.4,4520.28,-19.88,SIN SEÑAL
2026-05-27,GC=F,0.03585,0.06301,4448.46,4447.5,4459.64,-12.14,SIN SEÑAL
2026-05-28,GC=F,0.0359,0.06027,4495.07,4499.3,4505.89,-6.59,SIN SEÑAL
2026-05-29,GC=F,0.03588,0.05753,4542.44,4560.5,4552.87,7.63,SIN SEÑAL
2026-06-01,GC=F,0.0362,0.04932,4478.62,4475.2,4487.5,-12.3,SIN SEÑAL
2026-06-02,GC=F,0.03618,0.04658,4486.13,4489.1,4494.54,-5.44,SIN SEÑAL
2026-06-03,GC=F,0.03623,0.04384,4441.71,4436.7,4449.55,-12.85,SIN SEÑAL
2026-06-04,GC=F,0.0362,0.0411,4478.73,4475.8,4486.13,-10.33,SIN SEÑAL
2026-05-08,SI=F,0.03595,0.11507,81.04,80.39,81.42,-1.03,COMPRA FUTURO
2026-05-11,SI=F,0.036,0.10685,86.58,85.49,86.96,-1.48,COMPRA FUTURO
2026-05-12,SI=F,0.03603,0.10411,87.19,85.13,87.56,-2.43,COMPRA FUTURO
2026-05-13,SI=F,0.036,0.10137,88.08,88.89,88.45,0.44,VENDE FUTURO
2026-05-14,SI=F,0.03588,0.09863,83.82,84.91,84.15,0.76,VENDE FUTURO
2026-05-15,SI=F,0.03588,0.09589,76.63,77.16,76.94,0.23,SIN SEÑAL
2026-05-18,SI=F,0.03568,0.08767,77.63,77.07,77.91,-0.84,COMPRA FUTURO
2026-05-19,SI=F,0.03575,0.08493,74.26,74.83,74.52,0.31,SIN SEÑAL
2026-05-20,SI=F,0.03557,0.08219,76.29,75.85,76.55,-0.69,COMPRA FUTURO
2026-05-21,SI=F,0.03582,0.07945,77.09,76.41,77.34,-0.93,COMPRA FUTURO
2026-05-22,SI=F,0.03585,0.07671,75.88,75.89,76.12,-0.22,SIN SEÑAL
2026-05-26,SI=F,0.03582,0.06575,77.39,76.31,77.6,-1.29,COMPRA FUTURO
2026-05-27,SI=F,0.03585,0.06301,74.93,74.6,75.12,-0.52,COMPRA FUTURO
2026-05-28,SI=F,0.0359,0.06027,75.88,75.64,76.07,-0.42,COMPRA FUTURO
2026-05-29,SI=F,0.03588,0.05753,75.85,75.62,76.02,-0.41,COMPRA FUTURO
2026-06-01,SI=F,0.0362,0.04932,75.11,75.01,75.27,-0.26,SIN SEÑAL
2026-06-02,SI=F,0.03618,0.04658,75.47,75.31,75.61,-0.3,SIN SEÑAL
2026-06-03,SI=F,0.03623,0.04384,73.49,73.48,73.63,-0.15,SIN SEÑAL
2026-06-04,SI=F,0.0362,0.0411,74.35,73.78,74.47,-0.69,COMPRA FUTURO
2026-06-08,ES=F,0.03628,0.03014,7426.03,7434.75,7431.24,3.51,SIN SEÑAL
2026-06-08,GC=F,0.03628,0.03014,4333.24,4359.4,4338.5,20.9,SIN SEÑAL
2026-06-08,SI=F,0.03628,0.03014,68.58,68.47,68.67,-0.2,SIN SEÑAL
2026-06-09,ES=F,0.03628,0.0274,7405.73,7447.0,7410.45,36.55,SIN SEÑAL
2026-06-09,GC=F,0.03628,0.0274,4326.27,4358.0,4331.05,26.95,VENDE FUTURO
2026-06-09,SI=F,0.03628,0.0274,68.35,68.8,68.43,0.37,VENDE FUTURO
